ZONA_CIUDAD,LATITUD_CENTROIDE,LONGITUD_CENTROIDE
54,4.670367217182955,-74.0604460108672
55,4.701429901745104,-74.043057839827
56,4.643833217186855,-74.0981606480239
57,4.7114880654733176,-74.06793635709703
58,4.591689886196196,-74.07224836173593
59,4.617530512762671,-74.1523993885247
60,4.492155844378014,-74.1158096857198
61,4.612025322146305,-74.17508792033279
62,4.639381919325836,-74.16960090598825
63,4.6980103180123525,-74.07257730784423
64,4.684975283161617,-74.10456482379722
65,4.693852081062172,-74.08746001876041
66,4.738550754635471,-74.08443742149028
67,4.746836657554842,-74.025064096959
68,4.57475808756202,-74.15801548141262
69,4.635626725138495,-74.06412412084678
70,4.66430321104794,-74.07530435782934
71,4.570568225137309,-74.09379715026324
72,4.617180934091032,-74.08875225645465
73,4.707528683573442,-74.11015755187789
74,4.641839179345222,-74.11486358895505
75,4.689584980912778,-74.16391200411833
76,4.603303194081653,-74.19264495241646
77,4.631141073703991,-74.13947133422162
78,4.75485331629139,-74.06330831153464
79,4.706703483437858,-74.05328017339276
80,4.726548768132113,-74.0464443563728
81,4.511437476616047,-74.11564838373317
82,4.551253152503461,-74.11446286166347
83,4.552643536451277,-74.09247066460794
84,4.678576472114539,-74.04124052412313
85,4.74370176512554,-74.12108394051408
86,4.698425189520629,-74.09889093002684
87,4.589171226662097,-74.10306000381253
88,4.684795967889274,-74.078848265192
89,4.795962874981548,-74.03942818605553
90,4.720228562378628,-74.07548708898733
91,4.6061098815158354,-74.12013060817847
92,4.599293087747896,-74.08997742563163
93,4.673350632987666,-74.10130895573963
94,4.564713886923812,-74.12784662926275
95,4.635267846237717,-74.07443235869478
96,4.679763111570453,-74.0561985345736
97,4.5647820248574345,-74.1454977359231
98,4.627306339711836,-74.17967479218059
99,4.776224194284286,-74.04271374588654
100,4.629755294216667,-74.15165004744388
101,4.591773948958681,-74.14284775474155
102,4.597661963771855,-74.15817046198981
103,4.653872544340616,-74.07130012448069
104,4.682238256328231,-74.11696664390966
105,4.663916141288593,-74.13378582088797
106,4.730894413776476,-74.09617386972127
107,4.602869290759165,-74.14320190237248
108,4.65737957742984,-74.11495341023894
109,4.748742891562289,-74.11110944374622
110,4.711107070984776,-74.13704433443849
111,4.6595729874661895,-74.05961436317014
112,4.625849945803461,-74.0984123020689
113,4.727476650251141,-74.06887483319133
114,4.612166830002714,-74.20336923215875
115,4.612973787836799,-74.1305620662207
116,4.673047311014611,-74.06918691397526
117,4.572797503885028,-74.08284248550316
118,4.583903648814245,-74.13096147161015
119,4.762675629051087,-74.02839985036259
120,4.685951021204161,-74.09572469451824
121,4.75176919330227,-74.09518761687373
122,4.737614735628936,-74.04740707097827
123,4.579378492735806,-74.12401606540755
124,4.700827975439518,-74.0314056328327
125,4.6685334357775226,-74.14868278289629
126,4.61577965995246,-74.16359069918636
127,4.68979733279998,-74.03721198098121
128,4.684623035758687,-74.1302861380403
129,4.7228145290291526,-74.12085482050117
130,4.605575737935756,-74.07525490209082
131,4.634483066623407,-74.11709535468958
132,4.6641735822912285,-74.09176810909756
133,4.688681259255431,-74.06553098325479
134,4.626474089319041,-74.1222349659637
135,4.708154113767336,-74.07943223308833
136,4.593505793104779,-74.08085948961697
137,4.744261151479939,-74.04025373072429
138,4.691713197593849,-74.14445509319631
139,4.605821149442948,-74.06849042357729
140,4.6107396549128286,-74.18637060357972
141,4.578792980728581,-74.10448829626628
142,4.666240363347147,-74.05385102836821
143,4.635735400151705,-74.19437330004317
144,4.543877762359465,-74.13959037143928
145,4.610584190507324,-74.09688594793496
146,4.727083821276882,-74.03278091382538
147,4.645839822433094,-74.15005470730445
148,4.669221377718944,-74.11019404305507
149,4.671980572084248,-74.08375841109753
